raw,processed,label
pengemasan rapih bagus aman. ,emas rapi bagus aman,1
Barang lengkap pengiriman cepat; makasi,barang lengkap kirim cepat terima kasih,1
Barang sesuai deskripsi; harga bersahabat (ada harga ada kualitas); packing baik; pengiriman baik. Terima kasih.,barang sesuai deskripsi harga sahabat ada harga ada kualitas packing baik kirim baik terima kasih,1
Harga promo dikit karena dikasih kaleng penyok lumayan parah 2; sisanya penyok dikit,harga promo dikit karena kasih kaleng penyok lumayan parah sisa penyok dikit,0
7 hari baru sampe,hari baru sampai,0
Packing rapi; dan barang di terima dengan baik,packing rapi dan barang di terima dengan baik,1
ada barang yg kurang saat terima; komplainnya ribet; padahal harga barangnya murah.,ada barang yang kurang saat terima komplain ribet padahal harga barang murah,0
Pesan 8; 6 kaleng penyok,pesan kaleng penyok,0
Cepat bangeeeeettt best lah,cepat banget best lah,1
Barang sudah di terima dgn baik,barang sudah di terima dengan baik,1
Order tgl 1 baru saya terima tgl  7 padahal pesennya 2 paket dgn SKU yg sama. Monitor via fitur lacak hampir 3 hari statusnya &#34;on destibation to buyer&#34;. Packingnya agak rembes cairan sabunnya,order tanggal baru saya terima tanggal padahal sen paket dengan sku yang sama monitor via fitur lacak hampir hari status on destibation tryout buyer packingnya agak rembes cair sabun,0
waktu sampai dusnya sudah penyok semua;isi didalamnya sudah hilang setengahnya..,waktu sampai dus sudah penyok semua isi dalam sudah hilang tengah,0
salah kirim ukuran,salah kirim ukur,0
kayak barang lama;;,seperti barang lama,0
akhirnya sampe jg setelah salah kirim dan drama didalamnya,akhir sampai juga telah salah kirim dan drama dalam,0
mantaapp barang sesuai yg di order,mantaapp barang sesuai yang di order,1
Alhamdulillah paketnya sudah ada. salah orang yang nerima beda 1 blok. pas saya komplain dari pihak penjual baik mau merespon saya. terimakasih 🙏,alhamdulillah paket sudah ada salah orang yang terima beda blok pas saya komplain dari pihak jual baik mau merespon saya terimakasih,1
janjinya 3 + 1 tapi 1 nya selalu tidak dikirim,janji tapi nya selalu tidak kirim,0
Barang sesuai gtambar (tapi beda dari nama di manifest). Jumlah sesuai pesanan. Tanggal kedaluwarsa 17 Des 2022. Pengiriman tepat waktu. ,barang sesuai gtambar tapi beda dari nama di manifest jumlah sesuai pesan tanggal kedaluwarsa des kirim tepat waktu,1
barang baru smpe..order dr tgl 1;barang smpe tgl 7 mlm.tumben bgt kurir anteraja lemotny pooollll..respon penjual ramah..barang sesuai diskripsi.,barang baru sampai order dari tanggal barang sampai tanggal malam tumben banget kurir anteraja lemotny pol respon jual ramah barang sesuai skripsi,0
produk yg dikirim kurang; penjual menolak komplain; beli 4 dikirim cuma 3,produk yang kirim kurang jual tolak komplain beli kirim cuma,0
tidak ada keterangan barang sdh sampai,tidak ada terang barang sudah sampai,0
Barang OK sesuai deskripsi  dan good response,barang ok sesuai deskripsi dan good response,1
pada penyok rekkk,pada penyok rek,0
Kardus paket packaging sangat buruk utk sekelas unilever; juga ada barang yang tidak dikirim; dicomplain malah membela diri; ga penting banget sih lo unilever; siapa sih yang bertanggung jawab soal ini; pecat aja ganti ga berkualitas sama sekali; toko official buruknya minta ampun; kalo gini terus siap2 dapat tsunami complain bertubi2; segera berbenah kalo otaknya masih jalan normal!!!,kardus paket packaging sangat buruk untuk kelas unilever juga ada barang yang tidak kirim dicomplain bahkan bela diri tidak penting banget sih kamu unilever siapa sih yang tanggung jawab soal ini pecat saja ganti tidak kualitas sama sekali toko official buruk minta ampun jika begini terus siap dapat tsunami complain tubi segera benah jika otak masih jalan normal,0
barang seturut deskripsi,barang turut deskripsi,1
Beli di official store malah harga lebih mahal dibanding tempat lain,beli di official store bahkan harga lebih mahal banding tempat lain,0
Pesanan sdh diterima dan kemasan rapi terima kasih seller ,pesan sudah terima dan kemas rapi terima kasih seller,1
barang sdh sampai....good job deh..sll order trs deh👌👌👌👌😊,barang sudah sampai good job deh selalu order terus deh,1
Recomended seller Barang sesuai deskripsi Semoga sukses,recomended seller barang sesuai deskripsi moga sukses,1
Beli 3 Pcs...  Diterima Cuman 1 Pc,beli pcs terima hanya pc,0
pesan tgl 14 juli krm brg tgl 23 juli sampe tgl 24 juli. setelah brbp kli komplain. SEMOGA TIDAK ADA LAGI YG TERTIPU SEPERTI SAYA,pesan tanggal juli kirim bareng tanggal juli sampai tanggal juli telah brbp kali komplain moga tidak ada lagi yang tipu seperti saya,0
Sampai lupa saya kalo pesan ini..lama banget pengiriman nya,sampai lupa saya jika pesan ini lama banget kirim nya,1
keren..  wangi dan cepat sampainy   ,keren wangi dan cepat sampainy,1
Kalo secara kondisi barangnya oke karena memang unilever. Tp kecewa sekali sama adminnya yg kurang respon; dan proses pengiriman lama sekali. Check out hari jumat sampainya sabtu sore minggu depannya; berkali2 chat adminnya cuma jawab : “Nanti kami teruskan ke pihak terkait harap saudara juga hub pihak ekspedisi”  Itu kan tgg jawab seller kenapa pembeli harus repot? Baru di follow up ketika saya komplain ke help center tokopedia.. soo saaaad ☹️,jika cara kondisi barang oke karena memang unilever tapi kecewa sekali sama adminnya yang kurang respon dan proses kirim lama sekali check out hari jumat sampai sabtu sore minggu depan kali chat adminnya cuma jawab nanti kami terus ke pihak kait harap saudara juga hubung pihak ekspedisi itu kan tgg jawab seller kenapa beli harus repot baru di follow up ketika saya komplain ke help center tokopedia soo sad,0
Terima kasih barang pesanan saya sudah sampai dengan selamat; packaging super aman!,terima kasih barang pesan saya sudah sampai dengan selamat packaging super aman,1
Pengirimannya super lama. Kirim ke Bandung aja seminggu,kirim super lama kirim ke bandung saja minggu,0
Pengiriman Agak Lama,kirim agak lama,1
thanks.. plus buat bonusnya 👍🏻,terima kasih plus buat bonus,1
paket sesuai 👍 dan pelayanan toko dan pengantaran 👌🙏,paket sesuai dan layan toko dan antar,1
Ngirimnya lama banget,ngirimnya lama banget,0
Adanya kesalahan pengiriman barang dari pihak toko dan merugikan saya tapi proses komplain dan returnya agak ribet jadi saya ikhlasin aja,ada salah kirim barang dari pihak toko dan rugi saya tapi proses komplain dan retur agak ribet jadi saya ikhlasin saja,0
barangg okee.. packing rapii ga ada yg rusak.. cm pengiiriman lamaaa bgtt,barangg okee packing rapi tidak ada yang rusak cuma pengiiriman lama banget,1
Barang yg dtg jumlah tidak sesuai. Sdh beberp x belanja spt ini. Mohon di cek bag pengepakan brg nya,barang yang datang jumlah tidak sesuai sudah beberp kali belanja seperti ini mohon di cek bag epak bareng nya,0
Barang yg dikirim kurang.,barang yang kirim kurang,0
Barang sesuai dan Packing Rapi,barang sesuai dan packing rapi,1
Barang sesuai pesanan dan pengirimannya cepat Tq y... Selengkapnya,barang sesuai pesan dan kirim cepat thank you ya lengkap,1
Pengiriman agak lama,kirim agak lama,0
Tissue ok tp kurang basah,ti ue ok tapi kurang basah,1
mantap.. harga discount.. dapat hadiah lg..thanks seller...,mantap harga discount dapat hadiah lagi terima kasih seller,1
senengnya belanja di tokopedia gratis ongkir..; klo untuk pengemasannya cepet yaa pengirimannya juga cepet; packing aman ada kardus  + buble wrap untuk produknya aku suka ,neng belanja di tokopedia gratis ongkos kirim kalau untuk emas cepat ya kirim juga cepat packing aman ada kardus buble wrap untuk produk saya suka,1
penasanannya sesuai deskripsi dan paket di packing dengan sangat aman,penasanannya sesuai deskripsi dan paket di packing dengan sangat aman,1
pengirimannya lama banget; beda sama platform olshop tetangga yang super cepat. btw; terima kasih,kirim lama banget beda sama platform olshop tetangga yang super cepat ngomong-ngomong terima kasih,1
nyoba bli 1 .. di kasih nya 2 .. mkasih yaaaa ehehehehe .. aroma nya khas lifebouy . segaaaaaar ..di pke di kantor klo abis ngroko itu berasa abis mandi wkwkwkwkwkw.. jadi rambut nya ga bau apek .. ,coba beli di kasih nya mkasih iya ehehehehe aroma nya khas lifebouy segar di pakai di kantor kalau habis ngroko itu asa habis mandi wkwkwkwkwkw jadi rambut nya tidak bau apek,1
produk sesuai deskripsi tapi proses hingga pengiriman lambat,produk sesuai deskripsi tapi proses hingga kirim lambat,0
Ga ada free wipol disenfectan tisu nya.. Ganti aja nama nya jangan PHP 🥱🥱,tidak ada bebas wipol disenfectan tisu nya ganti saja nama nya jangan php,0
wanginya kurang kecium; samar2,wangi kurang cium samar,0
dibungkus bubble trs dimasukin dus. kotak odol agak penyok2 dikit tp odolnya sendiri amaannn...,bungkus bubble terus masuk dus kotak odol agak penyok dikit tapi odol sendiri ama,1
Sedikit kecewa krn produk di prosesnya lama;di chat bru di proses,sedikit kecewa karena produk di proses lama di chat baru di proses,0
Tidak ada masalah dengan produknya. Hanya proses pengirimannya sangat lama. Order tgl 2; br sampai tgl 9 July. Luar biasa utk perusahaan selevel Unilever. Jika mmg tidak siap melayani online dan orderan retail yg membludak; bisa dicantumkan notifikasi ke customer retail - pengiriman Lama! Baru kali ini pesan ke official store dan sangat mengecewakan.,tidak ada masalah dengan produk hanya proses kirim sangat lama order tanggal baru sampai tanggal july luar biasa untuk usaha level unilever jika memang tidak siap layan onlen dan order retail yang membludak bisa cantum notifikasi ke customer retail kirim lama baru kali ini pesan ke official store dan sangat kecewa,0
lama pengirimannya Krn hrs po,lama kirim karena harus po,1
unilevar ga bisa penuhin order.. flashsale tapi stoknya kosong.. payah; bikin kecewa.,unilevar tidak bisa penuhin order flashsale tapi stok kosong payah buat kecewa,0
Cepat respon dan bagus produk sesuai memuaskan ,cepat respon dan bagus produk sesuai muas,1
pesen tgl 11 jam 8.30; estimasi tgl 12-13; sampe tgl 14 jam 14.00 seller fast respon tgl 11 jam 9 resi dah jd; kurirnya parah pickup tgl 12 malam mohon bantu komplen ke kurir gan jgn mentang2 sy pake gratis ongkir; pickup semaunya barang ok exp lama,pesan tanggal jam estimasi tanggal sampai tanggal jam seller fast respon tanggal jam resi sudah jadi kurir parah pickup tanggal malam mohon bantu komplen ke kurir juragan jangan mentang saya pakai gratis ongkos kirim pickup mau barang ok exp lama,0
hadiah wipol power clean nya kok ga ada?,hadiah wipol power clean nya kok tidak ada,0
pengiriman lama dan kaleng penyok2,kirim lama dan kaleng penyok,0
Parah ; saya justru tertarik sama produk ini karena diskon malah nga dikirim ;dikirimnya yg diskon sedikit sama yg nga diskon,parah saya justru tarik sama produk ini karena diskon bahkan enggak kirim kirim yang diskon sedikit sama yang enggak diskon,0
Ok sesuai pesanan,ok sesuai pesan,1
shamponya kurang enak,shamponya kurang enak,0
Paket diterima dalam keadaan baik dan sesuai deskripsi,paket terima dalam ada baik dan sesuai deskripsi,1
untuk produk tdk ada masalah krn memang sehari2 pakai produk unilever; tp utk pengiriman kecewa sekali; lama krn alasan kendala disistem unilever nya; dr tangerang ke bgr 8 hari 😔 pesan tgl 26nov sampe tanggal 3 des dengan kondisi dus jebol,untuk produk tidak ada masalah karena memang hari pakai produk unilever tapi untuk kirim kecewa sekali lama karena alas kendala sistem unilever nya dari tangerang ke bgr hari pesan tanggal nov sampai tanggal des dengan kondisi dus jebol,0
respon dan pengiriman cepat; barang juga sampai dgn selamat,respon dan kirim cepat barang juga sampai dengan selamat,1
Masa-masa sekarang ini penting buat jaga kesehatan. Untungnya Bear Breand ini bisa banget buat bantu kondisi badan aku tetap fit. Ditambah juga susunya aman buat dikonsumsi kapan pun! 😊,masa masa sekarang ini penting buat jaga sehat untung bear breand ini bisa banget buat bantu kondisi badan saya tetap fit tambah juga susu aman buat konsumsi kapan pun,1
rapih dus n bubble.. tapi refill plastik sabunnya kotorr benerr.. ga bocor sih.. harusnya di lap bersihin dulu doong..🦊🦝,rapi dus dan bubble tapi refill plastik sabun kotorr benar tidak bocor sih harus di lap bersihin dulu dong,0
Barang cepet bgt sampe &amp; packing rapi+aman! Thankuu,barang cepat banget sampai amp packing rapi aman thankuu,1
Alhamdulillah.....barang sdh smp; packing rapi. Semoga tambah n terus bertambah sukses,alhamdulillah barang sudah sampai packing rapi moga tambah dan terus tambah sukses,1
tidak dapat free,tidak dapat bebas,0
Barang kurang kirim mau komplen ga bisa krn ga ada video,barang kurang kirim mau komplen tidak bisa karena tidak ada video,0
terima kasih; dapat bonus sample produk baru!,terima kasih dapat bonus sample produk baru,1
pengiriman cepat terima kasih,kirim cepat terima kasih,1
pecah; kemaaan g safety,pecah keman tidak safety,0
Kalau boleh pakai mobil saja seperti biasanya sebab kalau pakai motor berisiko bocornya juga besar karna banyaknya barang yang dibawa dan ditumpuk; belum lagi kondisi jalan yang rusak. Terima kasih.,kalau boleh pakai mobil saja seperti biasa sebab kalau pakai motor risiko bocor juga besar karena banyak barang yang bawa dan tumpuk belum lagi kondisi jalan yang rusak terima kasih,0
brgnya sesuai dengan deskripsi; harga ok krn pas ada promo dan cashback..,brgnya sesuai dengan deskripsi harga ok karena pas ada promo dan cashback,0
Dapat harga flashsale. Asiik. Dipesan Sabtu; diproses Senin; malam sampai. Termasuk cepat dlm pengiriman. Makasih; Toped; Nestle; dan SiCepat..,dapat harga flashsale asiik pes sabtu proses senin malam sampai masuk cepat dalam kirim terima kasih toped nestle dan sicepat,1
alhamdulillah toko&#39;y amana banget; pekingan rapi; dan bang kurir&#39;y pun rama,alhamdulillah toko ya amana banget peking rapi dan mas kurir ya pun rama,1
Kali ini barang tiba melebihi batas estimasi waktu padahal deketan jaraknya dengan store. Mungkin faktor ekspedisi yang bikin lama ya.,kali ini barang tiba lebih batas estimasi waktu padahal deketan jarak dengan store mungkin faktor ekspedisi yang buat lama iya,1
packing an nya rapih; aman; tdk bocor,packing an nya rapi aman tidak bocor,1
Harga official store jauh lebih mahal,harga official store jauh lebih mahal,0
Lama dan lama sampai brg nya pesan tgl 25 april sampai tgl 3.mei. kl toko spt itu lama2 akan sepi ,lama dan lama sampai bareng nya pesan tanggal april sampai tanggal mei kalo toko seperti itu lama akan sepi,0
sampe rumah penyok semua,sampai rumah penyok semua,0
Barang ori;;packing aman;;harga ekonomis,barang orisinal packing aman harga ekonomis,1
produk sesuai dengan pesanan,produk sesuai dengan pesan,1
pengiriman pakai kurir toko super lama..sesama tangerang 4 hari baru sampai,kirim pakai kurir toko super lama sama tangerang hari baru sampai,0
Brg  cepat sampe .,bareng cepat sampai,1
Barang bagus/asli ;dr official store; packing rapih; pengiriman cepat; dapat bonus shampo 2 sachet pula; sukses selalu ya ⭐️⭐️⭐️⭐️⭐️,barang bagus asli dari official store packing rapi kirim cepat dapat bonus shampo sachet pula sukses selalu iya,1
pengiriman kurir toko super lama,kirim kurir toko super lama,0
Packing pada bocor,packing pada bocor,0
Proses pengirimannya lama banget!!  di aplikasi sih langsung di proses; bahkan statusnya menunggu kurir..tapi kenyataannya tidak sama sekali; ternyata blm di proses sama sekali..nunggu 3 - 7 hari kerja; buat yg BURU2 saya sarankan JANGAN ORDER DISINI !  Buat seller; tolong di info cust nya; di tulis di caption bahwa dari proses order sampe pengiriman butuh 3 - 7 hari kerja; jadi cust yg butuh cepat bisa mikir 2x utk order!,proses kirim lama banget di aplikasi sih langsung di proses bahkan status tunggu kurir tapi nyata tidak sama sekali nyata belum di proses sama sekali tunggu hari kerja buat yang buru saya saran jangan order sini buat seller tolong di informasi cust nya di tulis di caption bahwa dari proses order sampai kirim butuh hari kerja jadi cust yang butuh cepat bisa mikir kali untuk order,0
kotak gak rusak;4 kaleng bagus+2 kaleng peot;  kecawa banget ,kotak enggak rusak kaleng bagus kaleng peot kecawa banget,0
lumayan dapet harga diskon dan gratis ongkir juga. makasih Tokopedia dan seller.,lumayan dapat harga diskon dan gratis ongkos kirim juga terima kasih tokopedia dan seller,1
Kaleng susu banyak yg penyok,kaleng susu banyak yang penyok,0
Kapok belanja di unilever official store. Udah komplain via sistem dan MENANG. Ni toko gayanya doang official; bukti unboxing sesuai catatan toko udah dkasih tp tetep ngrasa paling bener. Untung ada admin tokopedia yg fair bisa nengahin; jadi dana bisa balik. Gak kebayang kalo pesanan kita keburu diklik selesai padahal barang gak komplit. Debat kusir via chat ga bakal guna ngadepin seller mental cupu kek elu.,kapok belanja di unilever official store sudah komplain via sistem dan menang ini toko gaya doang official bukti unboxing sesuai catat toko sudah dkasih tapi tetap ngrasa paling benar untung ada admin tokopedia yang fair bisa nengahin jadi dana bisa balik enggak bayang jika pesan kita lanjur klik selesai padahal barang enggak komplit debat kusir via chat tidak bakal guna ngadepin seller mental cupu kayak kamu,0
harga murah bgd dan Adain promo diskon lg ya biar sering beli 😁,harga murah banget dan ada promo diskon lagi iya supaya sering beli,1
lama banget nyampenya.....seminggu lebih,lama banget sampai minggu lebih,0
Produk mantap. Kurir nya lamaaaaaaa di jalan ,produk mantap kurir nya lama di jalan,1
kalengnya penyok😱😱pdhal pake buble wrap dan dus nya gede.....,kaleng penyok padahal pakai buble wrap dan dus nya gede,0
rasanya terlalu manis,rasa terlalu manis,0
sudah di terima dengan baik,sudah di terima dengan baik,1
Penantian sangat panjang untuk sabun ini😄lama banget soalnya mendarat ,nanti sangat panjang untuk sabun ini lama banget soal darat,1
ada 2 kaleng penyok tapi biarlah; hanya rasa nya belom di coba; karena baru sampai jam 21:01; kalau bagus nanti tambah bintang lagi,ada kaleng penyok tapi biar hanya rasa nya belum di coba karena baru sampai jam kalau bagus nanti tambah bintang lagi,0
Barang tiba agak lama; tetapi sampai dgn selamat dan sesuai pesanan  Trims toped ,barang tiba agak lama tetapi sampai dengan selamat dan sesuai pesan terima kasih toped,1
Sesuai deskripsi; harga bersaing... ,sesuai deskripsi harga saing,1
Aroma lembut ; foam lembut ; sesuai pesanan ; sip 👍👍👍,aroma lembut foam lembut sesuai pesan sip,1
kiriman agak lama; dan packing kurang kuat; sehingga sampai tujuan barang bocor.,kirim agak lama dan packing kurang kuat sehingga sampai tuju barang bocor,1
order tgl 15 mei; paket tiba tgl 20 mei; lama bgt ,order tanggal mei paket tiba tanggal mei lama banget,0
pengirimannya lama sampenya; untuk packing sii rapi,kirim lama sampenya untuk packing sih rapi,0
Terima kasih barang sudah saya terima,terima kasih barang sudah saya terima,1
Bintang 2; karena lama sekali pengiriman nya.  Apa karena covid; saya tidak tahu karena seller juga tidak komunikatif. Pertanyaan hanya dijawab sekenanya.  Soal produk biasa aja; produk umum,bintang karena lama sekali kirim nya apa karena covid saya tidak tahu karena seller juga tidak komunikatif tanya hanya jawab kena soal produk biasa saja produk umum,0
payah judul.sm deskripsi ga sama;sama aja ngejebak orang;judul rinso cair deskripsinya rinso bubuk;untung datengnya masih rinso;kirain datengnya sabun colek,payah judul sama deskripsi tidak sama sama saja ngejebak orang judul rinso cair deskripsi rinso bubuk untung datengnya masih rinso ira datengnya sabun colek,0
pengiriman lama sekali ,kirim lama sekali,0
Sesuai pesanan dan terimakasih,sesuai pesan dan terimakasih,1
sippppp... mantap sesuai cepat.... thx,sip mantap sesuai cepat terimakasih,1
Pesan hari selasa siang; utk kebutuhan hari jumat; barang baru datang hari minggu. ,pesan hari selasa siang untuk butuh hari jumat barang baru datang hari minggu,0
kecepatan waktu pengiriman,cepat waktu kirim,0
Peking ya aman bgt trimakasih banyak,peking iya aman banget trimakasih banyak,1
Cepet sampe. Tapi tutupnya kebuka pas sampe. Untung ga tumpah banyak.,cepat sampai tapi tutup buka pas sampai untung tidak tumpah banyak,0
Barang sesuai pesanan; pengiriman juga cepat. Cuma packingan hanya dilapisin bubble wrap tanpa ada kardus. Overall cukup bagus untuk Official Store,barang sesuai pesan kirim juga cepat cuma packingan hanya dilapisin bubble wrap tanpa ada kardus overall cukup bagus untuk official store,1
top pengirimannya cepat; barangnya ok,top kirim cepat barang ok,1
produk di kemas sangat rapi &amp; aman. fast response,produk di kemas sangat rapi amp aman fast response,1
Produk sesuai; namun pengirimannya lama sekali sampai 1 minggu,produk sesuai namun kirim lama sekali sampai minggu,1
Pengiriman lama dengan kurir toko,kirim lama dengan kurir toko,0
beli 3 Pepsodent yang satu pecah padahal packingnya rapi dus ga ada yang penyok,beli pepsodent yang satu pecah padahal packingnya rapi dus tidak ada yang penyok,0
Pengiriman cepat dan rapih thanks ya,kirim cepat dan rapi terima kasih iya,1
barang berkualitas dan harga terjangkau,barang kualitas dan harga jangkau,1
store tp pengiriman lama bgt lwt estimasi; pdhl pengiriman di daerah yg sm; beli tgl 7 juni pg hr; smpe tgl 10 juni sore hr; utk brg sesuai jd d ksh bntang 2,store tapi kirim lama banget lewat estimasi padahal kirim di daerah yang sama beli tanggal juni pagi hari sampai tanggal juni sore hari untuk bareng sesuai jadi di kasih bntang,0
barang sesuai pesanan,barang sesuai pesan,1
pengiriman nya lama,kirim nya lama,0
Produk sesuai spesifikasi... terima kasih... salam sukses...,produk sesuai spesifikasi terima kasih salam sukses,1
Produk yang penting dan wajib dibawa jika keluar rumah di masa pandemi. Sebelum duduk atau memegang sesuatu; lap2 meja dan kursi pakai wipol wipes :),produk yang penting dan wajib bawa jika keluar rumah di masa pandemi belum duduk atau pegang sesuatu lap meja dan kursi pakai wipol wipes,1
Pelayanan buruk.. respon buruk...,layan buruk respon buruk,0
untuk produk tdk ada masalah krn memang sehari2 pakai produk unilever; tp utk pengiriman kecewa sekali; lama krn alasan kendala disistem unilever nya; dr tangerang ke bgr 8 hari 😔 pesan tgl 26nov sampe tanggal 3 des dengan kondisi dus jebol,untuk produk tidak ada masalah karena memang hari pakai produk unilever tapi untuk kirim kecewa sekali lama karena alas kendala sistem unilever nya dari tangerang ke bgr hari pesan tanggal nov sampai tanggal des dengan kondisi dus jebol,0
hati hati belanja disini; barang tidak dikirim semua permainan org gudangnya zolim ingin dapat untung dengan tidak mengirim semua barang dan proses pengajuan complain tb tb selesai tanpa ada pengembalian dana atau barang. busuk kalian..!!,hati hati belanja sini barang tidak kirim semua main orang gudang zolim ingin dapat untung dengan tidak kirim semua barang dan proses aju complain tb tb selesai tanpa ada kembali dana atau barang busuk kalian,0
bagus 1 hari lgsng sampe. cpt bgt,bagus hari langsung sampai cepat banget,1
dapet 4 kardus.. thq,dapat kardus thq,1
Pengiriman lama; hampir memakan waktu 5 hari,kirim lama hampir makan waktu hari,0
Dipesanan tertulis rinso matic cair tapi ternyata yg datang bubuk.,pesan tulis rinso matic cair tapi nyata yang datang bubuk,0
smua ok kecuali packing ,semua ok kecuali packing,1
Packing rapi dibungkus buble wrap; cepat sampai juga. Tq,packing rapi bungkus buble wrap cepat sampai juga thank you,1
Produk sesuai pesanan. Pengiriman ekspres :) Terima kasih,produk sesuai pesan kirim ekspres terima kasih,1
Produk diterima dgn baik,produk terima dengan baik,1
mantap pengiriman cepat banget.,mantap kirim cepat banget,1
Barang dalam kondisi baik; packing rapih; pengiriman lama,barang dalam kondisi baik packing rapi kirim lama,0
sobek2 kardus ny..,sobek kardus nya,0
Mantap; beli langsung 2x ni gan,mantap beli langsung kali ini juragan,1
Mantab.. Terima kasih..,mantab terima kasih,1
Lama banget pengiriman ke bekasi 4 hari ada kali,lama banget kirim ke bekas hari ada kali,0
tumpahhhhh     T_T,tumpah t t,0
Tdk sesuai. Order susu bear brand 2pack (@6pcs). Yg dkirim susu bear brand 1pack + Nestum sereal,tidak sesuai order susu bear brand pack pcs yang dkirim susu bear brand pack nestum real,0
barang cepet sampai...sesuai pesanan👍,barang cepat sampai sesuai pesan,1
ga rekomen pengiriman pake si cepat...si lambat dan si nyasar,tidak rekomen kirim pakai sih cepat sih lambat dan sih sesat,0
TIDAK MAU COMMENT KARENA BARANG TIDAK DITERIMA.,tidak mau comment karena barang tidak terima,0
Beli lagi disini; expired date msh 2021; harga flash sale; makasi jg bonusnya; nestle emang top,beli lagi sini expired date masih harga flash sale terima kasih juga bonus nestle memang top,1
BARANG BOCOR MOHON D PACKING DGN BENAR; POSISI TERBALIK;DUS KOSONG” YA PASTI TUMPAH LAH,barang bocor mohon di packing dengan benar posisi balik dus kosong iya pasti tumpah lah,0
Aku rindu wangi yg lama yg ini kurang tahan lama langsung ilang,saya rindu wangi yang lama yang ini kurang tahan lama langsung hilang,0
pengirimannya cpt ada yg penyok dkit 1 kaleng.,kirim cepat ada yang penyok dkit kaleng,1
mantaaffffffffff; beli kedua kalinya. barang OKE BGT; packing JUARIAH; HATUR NUHUN,mantaaf beli dua kali barang oke banget packing juariah hatur nuhun,1
official store tp proses 3 hari; pengiriman 2 hari; total 5 hari br smpe rmh. agar diperbaiki pelayanan nya.,official store tapi proses hari kirim hari total hari baru sampai rumah agar baik layan nya,0
harga terjangkau; sesuai deskripsi; agak lama pengiriman nya,harga jangkau sesuai deskripsi agak lama kirim nya,1
packing rapi dan aman ,packing rapi dan aman,1
wanginya oke..... hasilnya rambut menjadi lembut. cukup efektif mengurangi rontok dan ketombe,wangi oke hasil rambut jadi lembut cukup efektif kurang rontok dan ketombe,1
Bagus tapi pengirimannya lumayan lama,bagus tapi kirim lumayan lama,1
BARANG TIDAK SAMPAI KARENA BROKEN!!!! PROSES LAMAAA!!!! DARI TANGGAL 10 APRIL BELI; BROKEN TGL 18 APR. SAMPAI TGL 24 APRIL HARI INI MASIH BELUM ADA PRODUK DATANG DAN UANG BELUM KEMBALI. BURUK SEKALI PELAYANANNYA!!!! ,barang tidak sampai karena broken proses lama dari tanggal april beli broken tanggal apr sampai tanggal april hari ini masih belum ada produk datang dan uang belum kembali buruk sekali layan,0
bukan barangnya;tp tokonya ngga teliti.Cuma order 3 item brg aj (sabun; deterjen cair &amp; shampoo);malah ngga ke kirim shampoonya,bukan barang tapi toko tidak teliti cuma order hitam bareng aja sabun deterjen cair amp shampoo bahkan tidak ke kirim shampoonya,0
Beli 12 pcs; barangnya yang penyok ada 10 biji.🙈,beli pcs barang yang penyok ada biji,0
Sampe barangnya 1 minggu; komplain karna kurang barangnya sampe 5 hari; tp barang yg kurang gadikirim2 pdhl setuju. mantapppp,sampai barang minggu komplain karena kurang barang sampai hari tapi barang yang kurang gadikirim padahal tuju mantap,0
trimakasih hadiahnya bagus,trimakasih hadiah bagus,1
Honest review; kalau mau pake kurir toko nyampenya 1 minggu,honest review kalau mau pakai kurir toko sampai minggu,0
Pembelian pertama sudah saya bahas masalah packingnya yg tidak baik. Sekarang pembelian yg kedua; benar; gelasnya pecah! Entah kapan baru mau memperbaiki masalah packing ini.,beli pertama sudah saya bahas masalah packingnya yang tidak baik sekarang beli yang dua benar gelas pecah tidak tahu kapan baru mau baik masalah packing ini,0
alhamdulilah paket sudah datang;cuman sebagian kalengnya pada penyok;syedih banget sih liatnya mudah²han tidak apa².... pengirimmanya pun lama banget;ya mungkin karana PPKM darurat jugaa yaa..,alhamdulilah paket sudah datang hanya bagi kaleng pada penyok syedih banget sih lihat mudah han tidak apa pengirimmanya pun lama banget iya mungkin karana ppkm darurat juga ya,1
setelah di muter²in kurir; pending ;dtg² dus nya penyok sampe ke dlm; plakban jg sdh tdk rekat.. untung honey stars nya ga remuk.. mungkin bs di benahi packaging nya krn mknan-nya rentan remuk. mkshhhh seller 🌺,telah di muter ini kurir pending datang dus nya penyok sampai ke dalam plakban juga sudah tidak rekat untung honey stars nya tidak remuk mungkin bisa di benah packaging nya karena mknan nya rentan remuk terima kasih seller,1
ga sesuai pesana;jual apa dikasih apa..,tidak sesuai sana jual apa kasih apa,0
packing dus kurang rapih sdh koyak,packing dus kurang rapi sudah koyak,0
produk sesuai deskripsi n pengiriman cepat..makasi,produk sesuai deskripsi dan kirim cepat terima kasih,1
Waktu yg diperlukan utk memproses barang s/d kirim perlu waktu yg lama. Perbaiki handling dlm memproses pesanan.,waktu yang perlu untuk proses barang si di kirim perlu waktu yang lama baik handling dalam proses pesan,0
Brg sd sampai; packing aman; makasih bos. ,bareng sd sampai packing aman terima kasih bos,1
Sdh req jgn pakai bubblewrap tebal2; tp masih pake bubblewrap yg supeerr tebaalll; sangat nggak go green..,sudah request jangan pakai bubblewrap tebal tapi masih pakai bubblewrap yang supeerr tebaal sangat tidak go green,1
